"종목명","단축코드"
"동화약품","000020"
"KR모터스","000040"
"경방","000050"
"삼양홀딩스","000070"
"삼양홀딩스우","000075"
"하이트진로","000080"
"하이트진로2우B","000087"
"유한양행","000100"
"유한양행우","000105"
"CJ대한통운","000120"
"하이트진로홀딩스","000140"
"하이트진로홀딩스우","000145"
"두산","000150"
"두산우","000155"
"두산2우B","000157"
"성창기업지주","000180"
"DL","000210"
"DL우","000215"
"유유제약","000220"
"유유제약1우","000225"
"유유제약2우B","000227"
"일동홀딩스","000230"
"한국앤컴퍼니","000240"
"기아","000270"
"대유플러스","000300"
"노루홀딩스","000320"
"노루홀딩스우","000325"
"한화손해보험","000370"
"삼화페인트","000390"
"롯데손해보험","000400"
"대원강업","000430"
"CR홀딩스","000480"
"대동","000490"
"가온전선","000500"
"삼일제약","000520"
"흥국화재","000540"
"흥국화재우","000545"
"CS홀딩스","000590"
"동아쏘시오홀딩스","000640"
"천일고속","000650"
"SK하이닉스","000660"
"영풍","000670"
"LS네트웍스","000680"
"유수홀딩스","000700"
"현대건설","000720"
"현대건설우","000725"
"이화산업","000760"
"삼성화재","000810"
"삼성화재우","000815"
"화천기공","000850"
"강남제비스코","000860"
"한화","000880"
"한화우","000885"
"한화3우B","00088K"
"보해양조","000890"
"유니온","000910"
"전방","000950"
"한국주철관","000970"
"DB하이텍","000990"
"페이퍼코리아","001020"
"CJ","001040"
"CJ우","001045"
"CJ4우(전환)","00104K"
"JW중외제약","001060"
"JW중외제약우","001065"
"JW중외제약2우B","001067"
"대한방직","001070"
"만호제강","001080"
"LX인터내셔널","001120"
"대한제분","001130"
"국보","001140"
"유진투자증권","001200"
"금호전기","001210"
"동국홀딩스","001230"
"GS글로벌","001250"
"남광토건","001260"
"부국증권","001270"
"부국증권우","001275"
"상상인증권","001290"
"백광산업","001340"
"삼성제약","001360"
"SG글로벌","001380"
"KG케미칼","001390"
"태원물산","001420"
"세아베스틸지주","001430"
"대한전선","001440"
"현대해상","001450"
"BYC","001460"
"BYC우","001465"
"삼부토건","001470"
"현대차증권","001500"
"SK증권","001510"
"SK증권우","001515"
"동양","001520"
"동양우","001525"
"동양2우B","001527"
"DI동일","001530"
"조비","001550"
"제일연마","001560"
"금양","001570"
"케이비아이동국실업","001620"
"종근당홀딩스","001630"
"대상","001680"
"대상우","001685"
"신영증권","001720"
"SK네트웍스","001740"
"한양증권","001750"
"한양증권우","001755"
"SHD","001770"
"알루코","001780"
"대한제당","001790"
"대한제당우","001795"
"오리온홀딩스","001800"
"삼화콘덴서","001820"
"KISCO홀딩스","001940"
"코오롱","002020"
"코오롱우","002025"
"아세아","002030"
"비비안","002070"
"경농","002100"
"고려산업","002140"
"도화엔지니어링","002150"
"삼양통상","002170"
"한국수출포장","002200"
"동성제약","002210"
"한일철강","002220"
"고려제강","002240"
"아세아제지","002310"
"한진","002320"
"넥센타이어","002350"
"넥센타이어1우B","002355"
"SH에너지화학","002360"
"KCC","002380"
"한독","002390"
"범양건영","002410"
"세기상사","002420"
"삼익악기","002450"
"HS화성","002460"
"조흥","002600"
"제일파마홀딩스","002620"
"오리엔트바이오","002630"
"동일제강","002690"
"신일전자","002700"
"TCC스틸","002710"
"국제약품","002720"
"보락","002760"
"진흥기업","002780"
"진흥기업우B","002785"
"진흥기업2우B","002787"
"아모레G","002790"
"아모레G우","002795"
"아모레G3우(전환)","00279K"
"삼영무역","002810"
"SUN&L","002820"
"미원상사","002840"
"신풍","002870"
"대유에이텍","002880"
"TYM","002900"
"유성기업","002920"
"한국쉘석유","002960"
"금호건설","002990"
"금호건설우","002995"
"부광약품","003000"
"혜인","003010"
"세아제강지주","003030"
"에이프로젠바이오로직스","003060"
"코오롱글로벌","003070"
"코오롱글로벌우","003075"
"성보화학","003080"
"대웅","003090"
"일성아이에스","003120"
"디아이","003160"
"일신방직","003200"
"대원제약","003220"
"삼양식품","003230"
"태광산업","003240"
"흥아해운","003280"
"한일홀딩스","003300"
"한국화장품제조","003350"
"유화증권","003460"
"유화증권우","003465"
"유안타증권","003470"
"유안타증권우","003475"
"한진중공업홀딩스","003480"
"대한항공","003490"
"대한항공우","003495"
"영진약품","003520"
"한화투자증권","003530"
"한화투자증권우","003535"
"대신증권","003540"
"대신증권우","003545"
"대신증권2우B","003547"
"LG","003550"
"LG우","003555"
"IHQ","003560"
"SNT다이내믹스","003570"
"HLB글로벌","003580"
"방림","003610"
"KG모빌리티","003620"
"미창석유","003650"
"포스코퓨처엠","003670"
"한성기업","003680"
"코리안리","003690"
"삼영","003720"
"진양산업","003780"
"대한화섬","003830"
